element number;temperature in °C;figure 13 a;;figure 13 b;
;;emissivity;incoming heat flux density in kW/m;emissivity;incoming heat flux density in kW/m
1;400;1;0.441140924;1;0.220570462
2;400;1;0.441140924;1;0.220570462
3;400;1;0.441140924;1;0.220570462
4;400;1;0.441140924;1;0.220570462
5;400;1;0.441140924;1;0.220570462
6;400;1;0.441140924;1;0.220570462
7;400;1;0.441140924;1;0.220570462
8;400;1;0.441140924;1;0.220570462
9;400;1;0.441140924;1;0.220570462
10;400;1;0.441140924;1;0.220570462
11;400;1;0.441140924;1;0.220570462
12;400;1;0.441140924;1;0.220570462
13;400;1;0.441140924;1;0.220570462
14;400;1;0.441140924;1;0.220570462
15;400;1;0.441140924;1;0.220570462
16;400;1;0.441140924;1;0.220570462
17;400;1;0.441140924;1;0.220570462
18;400;1;0.441140924;1;0.220570462
19;400;1;0.441140924;1;0.220570462
20;400;1;0.441140924;1;0.220570462
21;400;1;0.441140924;1;0.220570462
22;400;1;0.441140924;1;0.220570462
23;400;1;0.441140924;1;0.220570462
24;400;1;0.441140924;1;0.220570462
25;400;1;0.441140924;1;0.220570462
26;400;1;0.441140924;1;0.220570462
27;400;1;0.441140924;1;0.220570462
28;400;1;0.441140924;1;0.220570462
29;400;1;0.441140924;1;0.220570462
30;400;1;0.441140924;1;0.220570462
31;400;1;0.441140924;1;0.220570462
32;400;1;0.441140924;1;0.220570462
33;400;1;0.441140924;1;0.220570462
34;400;1;0.441140924;1;0.220570462
35;400;1;0.441140924;1;0.220570462
36;400;1;0.441140924;1;0.220570462
37;400;1;0.441140924;1;0.220570462
38;400;1;0.441140924;1;0.220570462
39;400;1;0.441140924;1;0.220570462
40;400;1;0.441140924;1;0.220570462
41;400;1;0.441140924;1;0.220570462
42;400;1;0.441140924;1;0.220570462
43;400;1;0.441140924;1;0.220570462
44;400;1;0.441140924;1;0.220570462
45;400;1;0.441140924;1;0.220570462
46;400;1;0.441140924;1;0.220570462
47;400;1;0.441140924;1;0.220570462
48;400;1;0.441140924;1;0.220570462
49;400;1;0.441140924;1;0.220570462
50;400;1;0.441140924;1;0.220570462
51;400;1;0.441140924;1;0.220570462
52;400;1;0.441140924;1;0.220570462
53;400;1;0.441140924;1;0.220570462
54;400;1;0.441140924;1;0.220570462
55;400;1;0.441140924;1;0.220570462
56;400;1;0.441140924;1;0.220570462
57;400;1;0.441140924;1;0.220570462
58;400;1;0.441140924;1;0.220570462
59;400;1;0.441140924;1;0.220570462
60;400;1;0.441140924;1;0.220570462
61;600;1;0;1;0
62;600;1;0;1;0
63;600;1;0;1;0
64;600;1;0;1;0
65;600;1;0;1;0
66;600;1;0;1;0
67;600;1;0;1;0
68;600;1;0;1;0
69;600;1;0;1;0
70;600;1;0;1;0
71;600;1;0;1;0
72;600;1;0;1;0
73;600;1;0;1;0
74;600;1;0;1;0
75;600;1;0;1;0
76;600;1;0;1;0
77;600;1;0;1;0
78;600;1;0;1;0
79;600;1;0;1;0
80;600;1;0;1;0
81;600;1;0;1;0
82;600;1;0;1;0
83;600;1;0;1;0
84;600;1;0;1;0
85;600;1;0;1;0
86;600;1;0;1;0
87;600;1;0;1;0
88;600;1;0;1;0
89;600;1;0;1;0
90;600;1;0;1;0
91;400;1;0.441140924;1;0.220570462
92;400;1;0.441140924;1;0.220570462
93;400;1;0.441140924;1;0.220570462
94;400;1;0.441140924;1;0.220570462
95;400;1;0.441140924;1;0.220570462
96;400;1;0.441140924;1;0.220570462
97;400;1;0.441140924;1;0.220570462
