element number;node1;node2;center of mass;;normal vector;;area in m
;;;x-coordinate in m;y-coordinate in m;x-part of vector in m;y-part of vector in m;
1;1;2;0.01;0.2;0;1;0.02
2;2;3;0.03;0.2;0;1;0.02
3;3;4;0.05;0.2;0;1;0.02
4;4;5;0.07;0.2;0;1;0.02
5;5;6;0.09;0.2;0;1;0.02
6;6;7;0.11;0.2;0;1;0.02
7;7;8;0.13;0.2;0;1;0.02
8;8;9;0.15;0.2;0;1;0.02
9;9;10;0.17;0.2;0;1;0.02
10;10;11;0.19;0.2;0;1;0.02
11;11;12;0.21;0.2;0;1;0.02
12;12;13;0.23;0.2;0;1;0.02
13;13;14;0.25;0.2;0;1;0.02
14;14;15;0.27;0.2;0;1;0.02
15;15;16;0.29;0.2;0;1;0.02
16;16;17;0.31;0.2;0;1;0.02
17;17;18;0.33;0.2;0;1;0.02
18;18;19;0.35;0.2;0;1;0.02
19;19;20;0.37;0.2;0;1;0.02
20;20;21;0.39;0.2;0;1;0.02
21;21;22;0.41;0.2;0;1;0.02
22;22;23;0.43;0.2;0;1;0.02
23;23;24;0.45;0.2;0;1;0.02
24;24;25;0.47;0.2;0;1;0.02
25;25;26;0.49;0.2;0;1;0.02
26;26;27;0.51;0.2;0;1;0.02
27;27;28;0.53;0.2;0;1;0.02
28;28;29;0.55;0.2;0;1;0.02
29;29;30;0.57;0.2;0;1;0.02
30;30;31;0.59;0.2;0;1;0.02
31;32;33;0.59;0.8;0;-1;0.02
32;33;34;0.57;0.8;0;-1;0.02
33;34;35;0.55;0.8;0;-1;0.02
34;35;36;0.53;0.8;0;-1;0.02
35;36;37;0.51;0.8;0;-1;0.02
36;37;38;0.49;0.8;0;-1;0.02
37;38;39;0.47;0.8;0;-1;0.02
38;39;40;0.45;0.8;0;-1;0.02
39;40;41;0.43;0.8;0;-1;0.02
40;41;42;0.41;0.8;0;-1;0.02
41;42;43;0.39;0.8;0;-1;0.02
42;43;44;0.37;0.8;0;-1;0.02
