element number;temperature in °C;emissivity = 0.0001;;emissivity = 0.05;;emissivity = 0.75;
;;emissivity;incoming heat flux density in kW/m;emissivity;incoming heat flux density in kW/m;emissivity;incoming heat flux density in kW/m
1;600;1;0;1;0;1;0
2;600;1;0;1;0;1;0
3;600;1;0;1;0;1;0
4;600;1;0;1;0;1;0
5;600;1;0;1;0;1;0
6;400;0.0001;0.000566923;0.05;0.238568414;0.75;2.161604975
7;400;0.0001;0.000562373;0.05;0.227620315;0.75;1.769025092
8;400;0.0001;0.000557722;0.05;0.216909998;0.75;1.426200903
9;400;0.0001;0.000553106;0.05;0.206835083;0.75;1.146476539
10;400;0.0001;0.000548584;0.05;0.197532603;0.75;0.926877472
11;400;0.0001;0.000543179;0.05;0.187743952;0.75;0.747928311
12;400;0.0001;0.000538833;0.05;0.179905831;0.75;0.618150935
13;400;0.0001;0.000534602;0.05;0.17273042;0.75;0.517939108
14;400;0.0001;0.000529286;0.05;0.164782563;0.75;0.433023116
15;400;0.0001;0.000524028;0.05;0.157415318;0.75;0.366795181
16;400;0.0001;0.000518929;0.05;0.150694687;0.75;0.315562921
17;400;0.0001;0.000514095;0.05;0.144689892;0.75;0.276683721
18;400;0.0001;0.000507527;0.05;0.137447465;0.75;0.2417818
19;400;0.0001;0.000498415;0.05;0.12901263;0.75;0.212254892
20;400;0.0001;0.000490239;0.05;0.122068557;0.75;0.19209019
21;400;0.0001;0.000482698;0.05;0.115565097;0.75;0.173775199
22;400;0.0001;0.000478383;0.05;0.111524552;0.75;0.16094568
23;400;0.0001;0.000475643;0.05;0.109153876;0.75;0.153193659
24;400;0.0001;0.00047636;0.05;0.109802701;0.75;0.153058154
25;400;0.0001;0.000476735;0.05;0.110678539;0.75;0.153530413
26;400;0.0001;0.000497669;0.05;0.135718483;0.75;0.591110648
27;400;0.0001;0.000498224;0.05;0.136139168;0.75;0.597387453
28;400;0.0001;0.000497429;0.05;0.135273035;0.75;0.598188888
29;400;0.0001;0.000495036;0.05;0.132839644;0.75;0.593293567
30;400;0.0001;0.000491119;0.05;0.128910502;0.75;0.582942932
31;400;0.0001;0.000482048;0.05;0.116099408;0.75;0.357295275
32;400;0.0001;0.000471411;0.05;0.100233031;0.75;0.042916784
33;400;0.0001;0.000464416;0.05;0.092720721;0.75;0.02601871
34;400;0.0001;0.000457787;0.05;0.086512561;0.75;0.018396258
35;400;0.0001;0.000452833;0.05;0.082382254;0.75;0.015043633
