node number;x-coordinate in m;y-coordinate in m
1;0;0.4
2;0;0.42
3;0;0.44
4;0;0.46
5;0;0.48
6;0;0.5
7;0;0.5
8;0.02;0.5
9;0.04;0.5
10;0.06;0.5
11;0.08;0.5
12;0.1;0.5
13;0.12;0.5
14;0.14;0.5
15;0.16;0.5
16;0.18;0.5
17;0.2;0.5
18;0.22;0.5
19;0.24;0.5
20;0.26;0.5
21;0.28;0.5
22;0.3;0.5
23;0.32;0.5
24;0.34;0.5
25;0.36;0.5
26;0.38;0.5
27;0.4;0.5
28;0.4;0.5
29;0.4;0.48
30;0.4;0.46
31;0.4;0.44
32;0.4;0.42
33;0.4;0.4
34;0.4;0.38
35;0.4;0.36
36;0.4;0.34
37;0.4;0.32
38;0.4;0.3
39;0.4;0.28
40;0.4;0.26
41;0.4;0.24
42;0.4;0.22
43;0.4;0.2
44;0.4;0.18
45;0.4;0.16
46;0.4;0.14
47;0.4;0.12
48;0.4;0.1
49;0.4;0.1
50;0.42;0.1
51;0.44;0.1
52;0.46;0.1
53;0.48;0.1
54;0.5;0.1
55;0.52;0.1
56;0.54;0.1
57;0.56;0.1
58;0.58;0.1
59;0.6;0.1
60;0.62;0.1
61;0.64;0.1
62;0.66;0.1
63;0.68;0.1
64;0.7;0.1
65;0.72;0.1
66;0.74;0.1
67;0.76;0.1
68;0.78;0.1
69;0.8;0.1
70;0.8;0.1
71;0.8;0.12
72;0.8;0.14
73;0.8;0.16
74;0.8;0.18
75;0.8;0.2
76;0.8;0.22
77;0.8;0.24
78;0.8;0.26
79;0.8;0.28
80;0.8;0.3
81;0.8;0.3
82;0.82;0.3
83;0.84;0.3
84;0.86;0.3
85;0.88;0.3
86;0.9;0.3
87;0.92;0.3
88;0.94;0.3
89;0.96;0.3
90;0.98;0.3
91;1;0.3
92;1.02;0.3
93;1.04;0.3
94;1.06;0.3
95;1.08;0.3
96;1.1;0.3
97;1.12;0.3
98;1.14;0.3
99;1.16;0.3
100;1.18;0.3
101;1.2;0.3
102;1.22;0.3
103;1.24;0.3
104;1.26;0.3
105;1.28;0.3
106;1.3;0.3
107;1.3;0.3
108;1.3;0.28
109;1.3;0.26
110;1.3;0.24
111;1.3;0.22
112;1.3;0.2
113;1.3;0.18
114;1.3;0.16
115;1.3;0.14
116;1.3;0.12
117;1.3;0.1
118;1.3;0.08
119;1.3;0.06
120;1.3;0.04
121;1.3;0.02
122;1.3;0
123;1.3;0
124;1.28;0
125;1.26;0
126;1.24;0
127;1.22;0
128;1.2;0
129;1.18;0
130;1.16;0
131;1.14;0
132;1.12;0
133;1.1;0
134;0;0.4
135;0.02;0.4
136;0.04;0.4
137;0.06;0.4
138;0.08;0.4
139;0.1;0.4
140;0.12;0.4
141;0.14;0.4
142;0.16;0.4
143;0.18;0.4
144;0.2;0.4
145;0.22;0.4
146;0.24;0.4
147;0.26;0.4
148;0.28;0.4
149;0.3;0.4
150;0.3;0.4
151;0.3;0.38
152;0.3;0.36
153;0.3;0.34
154;0.3;0.32
155;0.3;0.3
156;0.3;0.28
157;0.3;0.26
158;0.3;0.24
159;0.3;0.22
160;0.3;0.2
161;0.3;0.18
162;0.3;0.16
163;0.3;0.14
164;0.3;0.12
165;0.3;0.1
166;0.3;0.08
167;0.3;0.06
168;0.3;0.04
169;0.3;0.02
170;0.3;0
171;0.3;0
172;0.32;0
173;0.34;0
174;0.36;0
175;0.38;0
176;0.4;0
177;0.42;0
178;0.44;0
179;0.46;0
180;0.48;0
181;0.5;0
182;0.52;0
183;0.54;0
184;0.56;0
185;0.58;0
186;0.6;0
187;0.62;0
188;0.64;0
189;0.66;0
190;0.68;0
191;0.7;0
192;0.72;0
193;0.74;0
194;0.76;0
195;0.78;0
196;0.8;0
197;0.82;0
198;0.84;0
199;0.86;0
200;0.88;0
201;0.9;0
202;0.9;0
203;0.9;0.02
204;0.9;0.04
205;0.9;0.06
206;0.9;0.08
207;0.9;0.1
208;0.9;0.12
209;0.9;0.14
210;0.9;0.16
211;0.9;0.18
212;0.9;0.2
213;0.9;0.2
214;0.92;0.2
215;0.94;0.2
216;0.96;0.2
217;0.98;0.2
218;1;0.2
219;1.02;0.2
220;1.04;0.2
221;1.06;0.2
222;1.08;0.2
223;1.1;0.2
224;1.12;0.2
225;1.14;0.2
226;1.16;0.2
227;1.18;0.2
228;1.2;0.2
229;1.2;0.2
230;1.2;0.18
231;1.2;0.16
232;1.2;0.14
233;1.2;0.12
234;1.2;0.1
235;1.2;0.1
236;1.18;0.1
237;1.16;0.1
238;1.14;0.1
239;1.12;0.1
240;1.1;0.1
241;1.1;0
242;1.1;0.02
243;1.1;0.04
244;1.1;0.06
245;1.1;0.08
246;1.1;0.1
