element number;temperature in °C;heat flux density in kW/m
1;300;-1.009721013
2;300;-1.010078433
3;300;-1.010631737
4;300;-1.011399976
5;300;-1.012405977
6;300;-1.013674217
7;300;-1.015228338
8;300;-1.017088478
9;300;-1.019268703
10;300;-1.021774803
11;300;-1.025883305
12;300;-1.033879452
13;300;-1.046089527
14;300;-1.062869276
15;300;-1.08460843
16;300;-1.11173437
17;300;-1.14471388
18;300;-1.184051656
19;300;-1.230283997
20;300;-1.283965799
21;300;-1.345648806
22;300;-1.415849055
23;300;-1.495001969
24;300;-1.58340476
25;300;-1.681148153
26;300;-1.78804282
27;300;-1.90355018
28;300;-2.026731126
29;300;-2.156228138
30;300;-2.290294164
31;300;-2.426874359
32;300;-2.56373734
33;300;-2.698629197
34;300;-2.829435733
35;300;-2.954321948
36;300;-3.071826725
37;300;-3.180904793
38;300;-3.280919525
39;300;-3.371598607
40;300;-3.452967956
41;300;-3.525278222
42;300;-3.588934566
43;300;-3.644436384
44;300;-3.692328862
45;300;-3.733167435
46;300;-3.76749449
47;300;-3.795824119
48;300;-3.818634492
49;300;-3.836365452
50;300;-3.849419632
51;300;-3.858165673
52;300;-3.862942397
53;300;-3.865252589
54;300;-3.867246815
55;300;-3.868934153
56;300;-3.870331612
57;300;-3.871461815
58;300;-3.872350373
59;300;-3.873023233
60;300;-3.873504254
61;300;-3.873813162
62;300;-3.873963978
63;300;-3.873963978
64;300;-3.873813162
65;300;-3.873504254
66;300;-3.873023233
67;300;-3.872350373
68;300;-3.871461815
69;300;-3.870331612
70;300;-3.868934153
71;300;-3.867246815
72;300;-3.865252589
73;300;-3.862942397
74;300;-3.858165673
75;300;-3.849419632
76;300;-3.836365452
77;300;-3.818634492
78;300;-3.795824119
79;300;-3.76749449
80;300;-3.733167435
81;300;-3.692328862
82;300;-3.644436384
83;300;-3.588934566
84;300;-3.525278222
85;300;-3.452967956
86;300;-3.371598607
87;300;-3.280919525
88;300;-3.180904793
89;300;-3.071826725
90;300;-2.954321948
91;300;-2.829435733
92;300;-2.698629197
93;300;-2.56373734
94;300;-2.426874359
95;300;-2.290294164
96;300;-2.156228138
97;300;-2.026731126
98;300;-1.90355018
99;300;-1.78804282
100;300;-1.681148153
101;300;-1.58340476
102;300;-1.495001969
103;300;-1.415849055
104;300;-1.345648806
105;300;-1.283965799
106;300;-1.230283997
107;300;-1.184051656
108;300;-1.14471388
109;300;-1.11173437
110;300;-1.08460843
111;300;-1.062869276
112;300;-1.046089527
113;300;-1.033879452
114;300;-1.025883305
115;300;-1.021774803
116;300;-1.019268703
117;300;-1.017088478
118;300;-1.015228338
119;300;-1.013674217
120;300;-1.012405977
121;300;-1.011399976
122;300;-1.010631737
123;300;-1.010078433
124;300;-1.009721013
125;300;-1.00954585
126;300;-1.00954585
127;400;-0.135791118
128;400;-0.135497839
129;400;-0.135054046
130;400;-0.13446812
131;400;-0.133729545
132;400;-0.132852236
133;400;-0.131820496
134;400;-0.130653692
135;400;-0.129331035
136;400;-0.12787724
137;400;-0.126266536
138;400;-0.124528845
139;400;-0.122633557
140;400;-0.120615629
141;400;-0.118439771
142;400;-0.116145782
143;400;-0.113693866
144;400;-0.111128443
145;400;-0.108405404
146;400;-0.105573545
147;400;-0.110608988
148;400;-0.115577102
149;400;-0.12042454
150;400;-0.125210534
151;400;-0.129875966
152;400;-0.134485862
153;400;-0.13897521
154;400;-0.143414893
155;400;-0.147733879
156;400;-0.152008969
157;400;-0.15616299
158;400;-0.160278721
159;400;-0.164272728
160;400;-0.168233831
161;400;-0.172072212
162;400;-0.1758828
163;400;-0.179569275
164;400;-0.183232744
165;400;-0.186770268
166;400;-0.1902892
167;400;-0.19367987
168;400;-0.197055955
169;400;-0.200300942
170;400;-0.203534908
171;400;-0.206634399
172;400;-0.209725962
173;400;-0.212679115
174;400;-0.215626954
175;400;-0.218431891
176;400;-0.221233641
177;400;-0.223887455
178;400;-0.226539737
179;400;-0.229038535
180;400;-0.231537012
181;400;-0.23387599
182;400;-0.236215459
183;400;-0.238389011
184;400;-0.240563528
185;400;-0.242565388
186;400;-0.244568422
187;400;-0.246391828
188;400;-0.248216439
189;600;2.698740371
190;600;2.696913357
191;600;2.695092235
192;600;2.693081964
193;600;2.691084714
194;600;2.688898088
195;600;2.686731512
196;600;2.684375028
197;600;2.682045428
198;600;2.679525003
199;600;2.677038019
200;600;2.674358831
201;600;2.671719296
202;600;2.668885659
203;600;2.666097495
204;600;2.66311277
205;600;2.660178904
206;600;2.657045439
207;600;2.653967768
208;600;2.650686868
209;600;2.647466242
210;600;2.644038174
211;600;2.640674413
212;600;2.637098433
213;600;2.633590366
214;600;2.629864765
215;600;2.626210289
216;600;2.622332463
217;600;2.618528617
218;600;2.614495145
219;600;2.610538198
220;600;2.606344934
221;600;2.602230485
222;600;2.597872661
223;600;2.593595749
224;600;2.589068083
225;600;2.584623303
226;600;2.579920118
227;600;2.575301743
228;600;2.570417086
229;600;2.565619198
230;600;2.56054697
231;600;2.563551501
232;600;2.566239519
233;600;2.568978537
234;600;2.57139729
235;600;2.573865643
236;600;2.576010022
237;600;2.57820291
238;600;2.580068175
239;600;2.581981243
240;600;2.583563109
241;600;2.585192521
242;600;2.586487224
243;600;2.587829721
244;600;2.58883407
245;600;2.589887008
246;600;2.590598421
247;600;2.591359798
248;600;2.591776322
249;600;2.592244796
250;600;2.592366144
251;600;2.592540016
252;600;2.592366144
253;600;2.592244796
254;600;2.591776322
255;600;2.591359798
256;600;2.590598421
257;600;2.589887008
258;600;2.58883407
259;600;2.587829721
260;600;2.586487224
261;600;2.585192521
262;600;2.583563109
263;600;2.581981243
264;600;2.580068175
265;600;2.57820291
266;600;2.576010022
267;600;2.573865643
268;600;2.57139729
269;600;2.568978537
270;600;2.566239519
271;600;2.563551501
272;600;2.56054697
273;600;2.565619198
274;600;2.570417086
275;600;2.575301743
276;600;2.579920118
277;600;2.584623303
278;600;2.589068083
279;600;2.593595749
280;600;2.597872661
281;600;2.602230485
282;600;2.606344934
283;600;2.610538198
284;600;2.614495145
285;600;2.618528617
286;600;2.622332463
287;600;2.626210289
288;600;2.629864765
289;600;2.633590366
290;600;2.637098433
291;600;2.640674413
292;600;2.644038174
293;600;2.647466242
294;600;2.650686868
295;600;2.653967768
296;600;2.657045439
297;600;2.660178904
298;600;2.66311277
299;600;2.666097495
300;600;2.668885659
301;600;2.671719296
302;600;2.674358831
303;600;2.677038019
304;600;2.679525003
305;600;2.682045428
306;600;2.684375028
307;600;2.686731512
308;600;2.688898088
309;600;2.691084714
310;600;2.693081964
311;600;2.695092235
312;600;2.696913357
313;600;2.698740371
314;400;-0.248216439
315;400;-0.246391828
316;400;-0.244568422
317;400;-0.242565388
318;400;-0.240563528
319;400;-0.238389011
320;400;-0.236215459
321;400;-0.23387599
322;400;-0.231537012
323;400;-0.229038535
324;400;-0.226539737
325;400;-0.223887455
326;400;-0.221233641
327;400;-0.218431891
328;400;-0.215626954
329;400;-0.212679115
330;400;-0.209725962
